"geneSymbol","BCK_eIF4E_RIP_2016.csv~1","JC list_4E interaction proteins.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"EXD2","BCK_eIF4E_RIP_2016.csv~1.2124",NA,"MG_eIF4E_OE_DSG_2018.csv~1.204"
"EXOC3","BCK_eIF4E_RIP_2016.csv~1.2224",NA,NA
"EXOC7","BCK_eIF4E_RIP_2016.csv~1.542",NA,NA
"EXOSC10","BCK_eIF4E_RIP_2016.csv~1.2451",NA,NA
"EXOSC2","BCK_eIF4E_RIP_2016.csv~1.1446",NA,NA
"EXOSC8","BCK_eIF4E_RIP_2016.csv~1.517",NA,NA
"EYA3","BCK_eIF4E_RIP_2016.csv~1.291",NA,NA
"EZH1","BCK_eIF4E_RIP_2016.csv~1.2932",NA,NA
"EZR","BCK_eIF4E_RIP_2016.csv~1.346",NA,NA
"F11R","BCK_eIF4E_RIP_2016.csv~1.162",NA,NA
"F13A1","BCK_eIF4E_RIP_2016.csv~1.504",NA,NA
"FADS1","BCK_eIF4E_RIP_2016.csv~1.2040",NA,NA
"FADS2","BCK_eIF4E_RIP_2016.csv~1.1574",NA,NA
"FADS3","BCK_eIF4E_RIP_2016.csv~1.2484",NA,"MG_eIF4E_OE_DSG_2018.csv~1.154"
"FAF2","BCK_eIF4E_RIP_2016.csv~1.745",NA,NA
"FAH","BCK_eIF4E_RIP_2016.csv~1.3130",NA,NA
"FAHD2A","BCK_eIF4E_RIP_2016.csv~1.1891",NA,NA
"FAHD2B","BCK_eIF4E_RIP_2016.csv~1.3283",NA,NA
"FAIM3","BCK_eIF4E_RIP_2016.csv~1.885",NA,NA
"FAM102A","BCK_eIF4E_RIP_2016.csv~1.938",NA,NA
"FAM114A1","BCK_eIF4E_RIP_2016.csv~1.3340",NA,NA
"FAM117A","BCK_eIF4E_RIP_2016.csv~1.809",NA,NA
"FAM118A","BCK_eIF4E_RIP_2016.csv~1.1928",NA,NA
"FAM120A","BCK_eIF4E_RIP_2016.csv~1.437",NA,NA
"FAM120B","BCK_eIF4E_RIP_2016.csv~1.1014",NA,"MG_eIF4E_OE_DSG_2018.csv~1.92"
"FAM120C","BCK_eIF4E_RIP_2016.csv~1.2118",NA,NA
"FAM122B","BCK_eIF4E_RIP_2016.csv~1.1747",NA,NA
"FAM129C","BCK_eIF4E_RIP_2016.csv~1.3379",NA,NA
"FAM160A2","BCK_eIF4E_RIP_2016.csv~1.864",NA,NA
"FAM160B2","BCK_eIF4E_RIP_2016.csv~1.2248",NA,NA
"FAM168A","BCK_eIF4E_RIP_2016.csv~1.2500",NA,NA
"FAM168B","BCK_eIF4E_RIP_2016.csv~1.2491",NA,NA
"FAM189B","BCK_eIF4E_RIP_2016.csv~1.2802",NA,NA
"FAM192A","BCK_eIF4E_RIP_2016.csv~1.1708",NA,NA
"FAM193A","BCK_eIF4E_RIP_2016.csv~1.2946",NA,NA
"FAM193B","BCK_eIF4E_RIP_2016.csv~1.2041",NA,NA
"FAM213A","BCK_eIF4E_RIP_2016.csv~1.1786",NA,NA
"FAM214B","BCK_eIF4E_RIP_2016.csv~1.1399",NA,NA
"FAM219A","BCK_eIF4E_RIP_2016.csv~1.3361",NA,NA
"FAM21A","BCK_eIF4E_RIP_2016.csv~1.3797",NA,NA
"FAM21C","BCK_eIF4E_RIP_2016.csv~1.3424",NA,NA
"FAM222B","BCK_eIF4E_RIP_2016.csv~1.3188",NA,NA
"FAM227A","BCK_eIF4E_RIP_2016.csv~1.3486",NA,NA
"FAM3A","BCK_eIF4E_RIP_2016.csv~1.1915",NA,NA
"FAM50A","BCK_eIF4E_RIP_2016.csv~1.2820",NA,NA
"FAM53C","BCK_eIF4E_RIP_2016.csv~1.488",NA,NA
"FAM57A","BCK_eIF4E_RIP_2016.csv~1.1322",NA,NA
"FAM63A","BCK_eIF4E_RIP_2016.csv~1.3627",NA,NA
"FAM65A","BCK_eIF4E_RIP_2016.csv~1.1108",NA,NA
"FAM65B","BCK_eIF4E_RIP_2016.csv~1.509",NA,NA
"FAM65C","BCK_eIF4E_RIP_2016.csv~1.3636",NA,NA
"FAM71F2","BCK_eIF4E_RIP_2016.csv~1.3328",NA,NA
"FAM73B","BCK_eIF4E_RIP_2016.csv~1.180",NA,NA
"FAM76A","BCK_eIF4E_RIP_2016.csv~1.816",NA,"MG_eIF4E_OE_DSG_2018.csv~1.174"
"FAM86B3P","BCK_eIF4E_RIP_2016.csv~1.3123",NA,NA
"FAM86C1","BCK_eIF4E_RIP_2016.csv~1.3795",NA,NA
"FAM86C2P","BCK_eIF4E_RIP_2016.csv~1.3712",NA,NA
"FAM86DP","BCK_eIF4E_RIP_2016.csv~1.3670",NA,"MG_eIF4E_OE_DSG_2018.csv~1.420"
"FAM86EP","BCK_eIF4E_RIP_2016.csv~1.3744",NA,NA
"FAN1","BCK_eIF4E_RIP_2016.csv~1.41",NA,"MG_eIF4E_OE_DSG_2018.csv~1.408"
"FANCA","BCK_eIF4E_RIP_2016.csv~1.181",NA,NA
"FANCD2","BCK_eIF4E_RIP_2016.csv~1.922",NA,NA
"FBF1","BCK_eIF4E_RIP_2016.csv~1.1771",NA,NA
"FBL","BCK_eIF4E_RIP_2016.csv~1.2155",NA,NA
"FBP1","BCK_eIF4E_RIP_2016.csv~1.2994",NA,NA
"FBRS","BCK_eIF4E_RIP_2016.csv~1.3239",NA,NA
"FBRSL1","BCK_eIF4E_RIP_2016.csv~1.3384",NA,NA
"FBXL20","BCK_eIF4E_RIP_2016.csv~1.1659",NA,NA
"FBXO10","BCK_eIF4E_RIP_2016.csv~1.230",NA,NA
"FBXO18","BCK_eIF4E_RIP_2016.csv~1.2335",NA,NA
"FBXO21","BCK_eIF4E_RIP_2016.csv~1.1194",NA,NA
"FBXO41","BCK_eIF4E_RIP_2016.csv~1.2902",NA,NA
"FBXO9","BCK_eIF4E_RIP_2016.csv~1.1131",NA,NA
"FBXW4","BCK_eIF4E_RIP_2016.csv~1.432",NA,NA
"FBXW4P1","BCK_eIF4E_RIP_2016.csv~1.1222",NA,NA
"FBXW8","BCK_eIF4E_RIP_2016.csv~1.1740",NA,NA
"FBXW9","BCK_eIF4E_RIP_2016.csv~1.2016",NA,NA
"FCF1","BCK_eIF4E_RIP_2016.csv~1.707",NA,NA
"FCGR2B","BCK_eIF4E_RIP_2016.csv~1.1657",NA,NA
"FCHO1","BCK_eIF4E_RIP_2016.csv~1.670",NA,NA
"FCHSD1","BCK_eIF4E_RIP_2016.csv~1.1390",NA,NA
"FCHSD2","BCK_eIF4E_RIP_2016.csv~1.282",NA,NA
"FCRL1","BCK_eIF4E_RIP_2016.csv~1.1179",NA,NA
"FCRL2","BCK_eIF4E_RIP_2016.csv~1.1540",NA,NA
"FCRL3","BCK_eIF4E_RIP_2016.csv~1.1692",NA,NA
"FCRL5","BCK_eIF4E_RIP_2016.csv~1.1236",NA,NA
"FDPS","BCK_eIF4E_RIP_2016.csv~1.537",NA,NA
"FDXR","BCK_eIF4E_RIP_2016.csv~1.3053",NA,NA
"FECH","BCK_eIF4E_RIP_2016.csv~1.1219",NA,NA
"FER1L4","BCK_eIF4E_RIP_2016.csv~1.2887",NA,NA
"FES","BCK_eIF4E_RIP_2016.csv~1.2882",NA,NA
"FGD1","BCK_eIF4E_RIP_2016.csv~1.3512",NA,NA
"FGD2","BCK_eIF4E_RIP_2016.csv~1.1845",NA,NA
"FGD3","BCK_eIF4E_RIP_2016.csv~1.2311",NA,NA
"FGF11","BCK_eIF4E_RIP_2016.csv~1.2297",NA,NA
"FGFR4","BCK_eIF4E_RIP_2016.csv~1.2705",NA,NA
"FGR","BCK_eIF4E_RIP_2016.csv~1.3538",NA,NA
"FHL3","BCK_eIF4E_RIP_2016.csv~1.3679",NA,NA
"FIZ1","BCK_eIF4E_RIP_2016.csv~1.3738",NA,NA
"FKBP15","BCK_eIF4E_RIP_2016.csv~1.1712",NA,NA
"FKBP4","BCK_eIF4E_RIP_2016.csv~1.1242",NA,NA
"FLCN","BCK_eIF4E_RIP_2016.csv~1.597",NA,NA
"FLII","BCK_eIF4E_RIP_2016.csv~1.1225",NA,NA
"FLOT1","BCK_eIF4E_RIP_2016.csv~1.2881",NA,NA
"FLOT2","BCK_eIF4E_RIP_2016.csv~1.1264",NA,NA
"FLT3LG","BCK_eIF4E_RIP_2016.csv~1.3458",NA,NA
"FMNL1","BCK_eIF4E_RIP_2016.csv~1.1620",NA,NA
"FMNL3","BCK_eIF4E_RIP_2016.csv~1.2487",NA,NA
"FN3K","BCK_eIF4E_RIP_2016.csv~1.3700",NA,NA
"FN3KRP","BCK_eIF4E_RIP_2016.csv~1.2757",NA,NA
"FNBP1","BCK_eIF4E_RIP_2016.csv~1.2156",NA,NA
"FNBP4","BCK_eIF4E_RIP_2016.csv~1.2072",NA,NA
"FNDC3B","BCK_eIF4E_RIP_2016.csv~1.1056",NA,NA
"FNDC8","BCK_eIF4E_RIP_2016.csv~1.3375",NA,NA
"FNIP2","BCK_eIF4E_RIP_2016.csv~1.1610",NA,NA
"FOXD2-AS1","BCK_eIF4E_RIP_2016.csv~1.3524",NA,NA
"FOXJ2","BCK_eIF4E_RIP_2016.csv~1.3057",NA,NA
"FOXJ3","BCK_eIF4E_RIP_2016.csv~1.1514",NA,NA
"FOXK1","BCK_eIF4E_RIP_2016.csv~1.2833",NA,NA
"FOXK2","BCK_eIF4E_RIP_2016.csv~1.1262",NA,NA
"FOXM1","BCK_eIF4E_RIP_2016.csv~1.2351",NA,NA
"FOXN3","BCK_eIF4E_RIP_2016.csv~1.1414",NA,NA
"FOXO3B","BCK_eIF4E_RIP_2016.csv~1.3735",NA,NA
"FOXO4","BCK_eIF4E_RIP_2016.csv~1.3257",NA,NA
"FOXP3","BCK_eIF4E_RIP_2016.csv~1.3466",NA,NA
"FOXP4","BCK_eIF4E_RIP_2016.csv~1.3108",NA,NA
"FOXRED1","BCK_eIF4E_RIP_2016.csv~1.2654",NA,NA
"FOXRED2","BCK_eIF4E_RIP_2016.csv~1.2076",NA,NA
"FPGS","BCK_eIF4E_RIP_2016.csv~1.956",NA,NA
"FRMD3","BCK_eIF4E_RIP_2016.csv~1.3819",NA,NA
"FRS3","BCK_eIF4E_RIP_2016.csv~1.2891",NA,NA
"FRY","BCK_eIF4E_RIP_2016.csv~1.3445",NA,NA
"FTH1P3","BCK_eIF4E_RIP_2016.csv~1.3796",NA,NA
"FTSJ1","BCK_eIF4E_RIP_2016.csv~1.209",NA,NA
"FTSJ3","BCK_eIF4E_RIP_2016.csv~1.2404",NA,NA
"FUBP3","BCK_eIF4E_RIP_2016.csv~1.2346",NA,NA
"FUS","BCK_eIF4E_RIP_2016.csv~1.2587",NA,NA
"FXN","BCK_eIF4E_RIP_2016.csv~1.595",NA,NA
"FXR2","BCK_eIF4E_RIP_2016.csv~1.1765",NA,NA
"FXYD5","BCK_eIF4E_RIP_2016.csv~1.2999",NA,NA
"FYB","BCK_eIF4E_RIP_2016.csv~1.3621",NA,NA
"FYCO1","BCK_eIF4E_RIP_2016.csv~1.3155",NA,NA
"FYN","BCK_eIF4E_RIP_2016.csv~1.3791",NA,NA
"FZR1","BCK_eIF4E_RIP_2016.csv~1.264",NA,NA
"G6PD","BCK_eIF4E_RIP_2016.csv~1.1287",NA,NA
"GAA","BCK_eIF4E_RIP_2016.csv~1.3387",NA,NA
"GAB2","BCK_eIF4E_RIP_2016.csv~1.3479",NA,NA
"GAB3","BCK_eIF4E_RIP_2016.csv~1.1990",NA,NA
"GABARAPL1","BCK_eIF4E_RIP_2016.csv~1.123",NA,NA
"GABBR1","BCK_eIF4E_RIP_2016.csv~1.3639",NA,NA
"GABRR2","BCK_eIF4E_RIP_2016.csv~1.3630",NA,NA
"GAD1","BCK_eIF4E_RIP_2016.csv~1.3439",NA,NA
"GAK","BCK_eIF4E_RIP_2016.csv~1.2883",NA,NA
"GALNT12","BCK_eIF4E_RIP_2016.csv~1.3120",NA,NA
"GALNT6","BCK_eIF4E_RIP_2016.csv~1.3171",NA,NA
"GANAB","BCK_eIF4E_RIP_2016.csv~1.875",NA,NA
"GANC","BCK_eIF4E_RIP_2016.csv~1.401",NA,NA
"GAPVD1","BCK_eIF4E_RIP_2016.csv~1.292",NA,"MG_eIF4E_OE_DSG_2018.csv~1.351"
"GARS","BCK_eIF4E_RIP_2016.csv~1.259",NA,NA
"GART","BCK_eIF4E_RIP_2016.csv~1.38",NA,NA
"GAS6","BCK_eIF4E_RIP_2016.csv~1.3071",NA,NA
"GAS6-AS1","BCK_eIF4E_RIP_2016.csv~1.3450",NA,NA
"GAS8","BCK_eIF4E_RIP_2016.csv~1.3418",NA,NA
"GATAD1","BCK_eIF4E_RIP_2016.csv~1.2146",NA,NA
"GATAD2A","BCK_eIF4E_RIP_2016.csv~1.2314",NA,NA
"GATAD2B","BCK_eIF4E_RIP_2016.csv~1.3047",NA,NA
"GBA2","BCK_eIF4E_RIP_2016.csv~1.1704",NA,NA
"GBAP1","BCK_eIF4E_RIP_2016.csv~1.3007",NA,NA
"GBF1","BCK_eIF4E_RIP_2016.csv~1.2386",NA,NA
"GCN1L1","BCK_eIF4E_RIP_2016.csv~1.426",NA,NA
"GDF11","BCK_eIF4E_RIP_2016.csv~1.3091",NA,NA
"GDI1","BCK_eIF4E_RIP_2016.csv~1.2640",NA,NA
"GDPD3","BCK_eIF4E_RIP_2016.csv~1.3214",NA,NA
"GDPD5","BCK_eIF4E_RIP_2016.csv~1.3414",NA,NA
"GEMIN5","BCK_eIF4E_RIP_2016.csv~1.1054",NA,NA
"GET4","BCK_eIF4E_RIP_2016.csv~1.1584",NA,NA
"GFPT1","BCK_eIF4E_RIP_2016.csv~1.152",NA,NA
"GGA1","BCK_eIF4E_RIP_2016.csv~1.2499",NA,NA
"GGA2","BCK_eIF4E_RIP_2016.csv~1.2584",NA,NA
"GGA3","BCK_eIF4E_RIP_2016.csv~1.2345",NA,NA
"GGNBP2","BCK_eIF4E_RIP_2016.csv~1.1825",NA,NA
"GGT7","BCK_eIF4E_RIP_2016.csv~1.3335",NA,NA
"GH1","BCK_eIF4E_RIP_2016.csv~1.3826",NA,NA
"GHRLOS","BCK_eIF4E_RIP_2016.csv~1.2662",NA,NA
"GID4","BCK_eIF4E_RIP_2016.csv~1.3014",NA,NA
"GID8","BCK_eIF4E_RIP_2016.csv~1.579",NA,NA
"GIGYF1","BCK_eIF4E_RIP_2016.csv~1.1416",NA,NA
"GIGYF2","BCK_eIF4E_RIP_2016.csv~1.1158",NA,NA
"GINS4","BCK_eIF4E_RIP_2016.csv~1.2534",NA,NA
"GIPC1","BCK_eIF4E_RIP_2016.csv~1.2200",NA,NA
"GIT2","BCK_eIF4E_RIP_2016.csv~1.655",NA,NA
"GJC1","BCK_eIF4E_RIP_2016.csv~1.1701",NA,NA
"GK5","BCK_eIF4E_RIP_2016.csv~1.2338",NA,NA
"GKAP1","BCK_eIF4E_RIP_2016.csv~1.1299",NA,NA
"GLB1L","BCK_eIF4E_RIP_2016.csv~1.1462",NA,NA
"GLE1","BCK_eIF4E_RIP_2016.csv~1.2129",NA,NA
"GLG1","BCK_eIF4E_RIP_2016.csv~1.2364",NA,NA
"GLI1","BCK_eIF4E_RIP_2016.csv~1.2639",NA,"MG_eIF4E_OE_DSG_2018.csv~1.241"
"GLIS2","BCK_eIF4E_RIP_2016.csv~1.3598",NA,NA
"GLTSCR1","BCK_eIF4E_RIP_2016.csv~1.3035",NA,NA
"GLTSCR1L","BCK_eIF4E_RIP_2016.csv~1.1839",NA,NA
"GLTSCR2","BCK_eIF4E_RIP_2016.csv~1.1337",NA,NA
"GLUD1P3","BCK_eIF4E_RIP_2016.csv~1.3629",NA,NA
"GLYR1","BCK_eIF4E_RIP_2016.csv~1.2590",NA,NA
"GM2A","BCK_eIF4E_RIP_2016.csv~1.1923",NA,NA
"GMEB1","BCK_eIF4E_RIP_2016.csv~1.2947",NA,NA
"GMEB2","BCK_eIF4E_RIP_2016.csv~1.1553",NA,NA
"GMIP","BCK_eIF4E_RIP_2016.csv~1.1205",NA,NA
"GMPPA","BCK_eIF4E_RIP_2016.csv~1.2270",NA,NA
"GMPR2","BCK_eIF4E_RIP_2016.csv~1.798",NA,NA
"GNAI2","BCK_eIF4E_RIP_2016.csv~1.1343",NA,NA
"GNAS","BCK_eIF4E_RIP_2016.csv~1.1904",NA,NA
"GNB1","BCK_eIF4E_RIP_2016.csv~1.1470",NA,NA
"GNB3","BCK_eIF4E_RIP_2016.csv~1.3121",NA,NA
"GNB5","BCK_eIF4E_RIP_2016.csv~1.505",NA,NA
"GNE","BCK_eIF4E_RIP_2016.csv~1.1048",NA,NA
"GNG7","BCK_eIF4E_RIP_2016.csv~1.2870",NA,NA
"GNGT2","BCK_eIF4E_RIP_2016.csv~1.3401",NA,NA
"GNL1","BCK_eIF4E_RIP_2016.csv~1.1039",NA,NA
"GNL2","BCK_eIF4E_RIP_2016.csv~1.522",NA,NA
"GNL3L","BCK_eIF4E_RIP_2016.csv~1.1033",NA,NA
"GNMT","BCK_eIF4E_RIP_2016.csv~1.3675",NA,NA
"GNPTG","BCK_eIF4E_RIP_2016.csv~1.3055",NA,NA
"GNS","BCK_eIF4E_RIP_2016.csv~1.1981",NA,NA
"GOLGA1","BCK_eIF4E_RIP_2016.csv~1.2460",NA,NA
"GOLGA2","BCK_eIF4E_RIP_2016.csv~1.3231",NA,NA
"GOLGA2P5","BCK_eIF4E_RIP_2016.csv~1.3092",NA,NA
"GOLGA3","BCK_eIF4E_RIP_2016.csv~1.2251",NA,NA
"GOLGA4","BCK_eIF4E_RIP_2016.csv~1.650",NA,NA
"GOLGA8A","BCK_eIF4E_RIP_2016.csv~1.3792",NA,NA
"GOLGA8B","BCK_eIF4E_RIP_2016.csv~1.3128",NA,NA
"GOLGA8N","BCK_eIF4E_RIP_2016.csv~1.3724",NA,NA
"GOLGB1","BCK_eIF4E_RIP_2016.csv~1.969",NA,"MG_eIF4E_OE_DSG_2018.csv~1.27"
"GOLIM4","BCK_eIF4E_RIP_2016.csv~1.1835",NA,NA
"GON4L","BCK_eIF4E_RIP_2016.csv~1.1638",NA,NA
"GORASP1","BCK_eIF4E_RIP_2016.csv~1.3001",NA,NA
"GORASP2","BCK_eIF4E_RIP_2016.csv~1.715",NA,NA
"GOT2","BCK_eIF4E_RIP_2016.csv~1.1245",NA,NA
"GP1BA","BCK_eIF4E_RIP_2016.csv~1.3278",NA,NA
"GP6","BCK_eIF4E_RIP_2016.csv~1.3135",NA,NA
"GPATCH1","BCK_eIF4E_RIP_2016.csv~1.2458",NA,NA
"GPATCH4","BCK_eIF4E_RIP_2016.csv~1.2642",NA,NA
"GPATCH8","BCK_eIF4E_RIP_2016.csv~1.2281",NA,NA
"GPBP1L1","BCK_eIF4E_RIP_2016.csv~1.477",NA,NA
"GPC2","BCK_eIF4E_RIP_2016.csv~1.2539",NA,NA
"GPER1","BCK_eIF4E_RIP_2016.csv~1.3309",NA,NA
"GPI","BCK_eIF4E_RIP_2016.csv~1.48",NA,NA
"GPKOW","BCK_eIF4E_RIP_2016.csv~1.1325",NA,NA
"GPLD1","BCK_eIF4E_RIP_2016.csv~1.2232",NA,NA
"GPR107","BCK_eIF4E_RIP_2016.csv~1.1473",NA,NA
"GPR108","BCK_eIF4E_RIP_2016.csv~1.2343",NA,NA
"GPR146","BCK_eIF4E_RIP_2016.csv~1.3204",NA,NA
"GPR75","BCK_eIF4E_RIP_2016.csv~1.3186",NA,NA
"GPRASP1","BCK_eIF4E_RIP_2016.csv~1.3365",NA,NA
"GPS2","BCK_eIF4E_RIP_2016.csv~1.2253",NA,NA
"GPT2","BCK_eIF4E_RIP_2016.csv~1.2175",NA,NA
"GRAMD1A","BCK_eIF4E_RIP_2016.csv~1.1429",NA,NA
"GRAMD4","BCK_eIF4E_RIP_2016.csv~1.1026",NA,NA
"GRB2","BCK_eIF4E_RIP_2016.csv~1.1114",NA,NA
"GREB1","BCK_eIF4E_RIP_2016.csv~1.3023",NA,NA
"GRHL1","BCK_eIF4E_RIP_2016.csv~1.1634",NA,NA
"GRIK5","BCK_eIF4E_RIP_2016.csv~1.3845",NA,NA
"GRINA","BCK_eIF4E_RIP_2016.csv~1.2115",NA,NA
"GRIPAP1","BCK_eIF4E_RIP_2016.csv~1.3041",NA,NA
"GRK5","BCK_eIF4E_RIP_2016.csv~1.3481",NA,NA
"GRN","BCK_eIF4E_RIP_2016.csv~1.1078",NA,NA
"GRTP1","BCK_eIF4E_RIP_2016.csv~1.3799",NA,NA
"GS1-259H13.2","BCK_eIF4E_RIP_2016.csv~1.3290",NA,NA
"GSAP","BCK_eIF4E_RIP_2016.csv~1.1410",NA,NA
"GSDMB","BCK_eIF4E_RIP_2016.csv~1.2963",NA,"MG_eIF4E_OE_DSG_2018.csv~1.198"
"GSE1","BCK_eIF4E_RIP_2016.csv~1.2037",NA,NA
"GSG2","BCK_eIF4E_RIP_2016.csv~1.3058",NA,NA
"GSK3A","BCK_eIF4E_RIP_2016.csv~1.2927",NA,NA
"GSR","BCK_eIF4E_RIP_2016.csv~1.2551",NA,NA
"GSS","BCK_eIF4E_RIP_2016.csv~1.2333",NA,NA
"GSTK1","BCK_eIF4E_RIP_2016.csv~1.764",NA,NA
"GSTM2","BCK_eIF4E_RIP_2016.csv~1.3500",NA,NA
"GSTM4","BCK_eIF4E_RIP_2016.csv~1.2581",NA,NA
"GTF2F1","BCK_eIF4E_RIP_2016.csv~1.2760",NA,NA
"GTF2H3","BCK_eIF4E_RIP_2016.csv~1.169",NA,NA
"GTF2I","BCK_eIF4E_RIP_2016.csv~1.1725",NA,NA
"GTF2IRD2","BCK_eIF4E_RIP_2016.csv~1.3818",NA,NA
"GTF3A","BCK_eIF4E_RIP_2016.csv~1.263",NA,NA
"GTF3C1","BCK_eIF4E_RIP_2016.csv~1.1246",NA,NA
"GTF3C2","BCK_eIF4E_RIP_2016.csv~1.1929",NA,NA
"GTF3C5","BCK_eIF4E_RIP_2016.csv~1.989",NA,NA
"GTPBP1","BCK_eIF4E_RIP_2016.csv~1.193",NA,NA
"GTPBP2","BCK_eIF4E_RIP_2016.csv~1.2180",NA,NA
"GTPBP3","BCK_eIF4E_RIP_2016.csv~1.533",NA,NA
"GTPBP4","BCK_eIF4E_RIP_2016.csv~1.910",NA,NA
"GTSE1","BCK_eIF4E_RIP_2016.csv~1.2750",NA,NA
"GUCA1B","BCK_eIF4E_RIP_2016.csv~1.3788",NA,NA
"GUSB","BCK_eIF4E_RIP_2016.csv~1.618",NA,NA
"GUSBP11","BCK_eIF4E_RIP_2016.csv~1.47",NA,NA
"GUSBP9","BCK_eIF4E_RIP_2016.csv~1.2466",NA,NA
"GVINP1","BCK_eIF4E_RIP_2016.csv~1.1406",NA,NA
"GYLTL1B","BCK_eIF4E_RIP_2016.csv~1.2717",NA,NA
"GYS1","BCK_eIF4E_RIP_2016.csv~1.1070",NA,NA
"HAAO","BCK_eIF4E_RIP_2016.csv~1.2872",NA,NA
"HABP4","BCK_eIF4E_RIP_2016.csv~1.3116",NA,NA
"HADHA","BCK_eIF4E_RIP_2016.csv~1.606",NA,NA
"HADHB","BCK_eIF4E_RIP_2016.csv~1.482",NA,NA
"HARS","BCK_eIF4E_RIP_2016.csv~1.2819",NA,NA
"HARS2","BCK_eIF4E_RIP_2016.csv~1.2739",NA,NA
"HAUS4","BCK_eIF4E_RIP_2016.csv~1.693",NA,"MG_eIF4E_OE_DSG_2018.csv~1.214"
"HAUS5","BCK_eIF4E_RIP_2016.csv~1.2598",NA,NA
"HAUS7","BCK_eIF4E_RIP_2016.csv~1.1991",NA,NA
"HAUS8","BCK_eIF4E_RIP_2016.csv~1.1949",NA,NA
"HBEGF","BCK_eIF4E_RIP_2016.csv~1.3219",NA,NA
"HCFC1","BCK_eIF4E_RIP_2016.csv~1.1563",NA,NA
"HCLS1","BCK_eIF4E_RIP_2016.csv~1.3015",NA,NA
"HCN3","BCK_eIF4E_RIP_2016.csv~1.3182",NA,NA
"HDAC1","BCK_eIF4E_RIP_2016.csv~1.730",NA,NA
"HDAC3","BCK_eIF4E_RIP_2016.csv~1.1229",NA,NA
"HDAC5","BCK_eIF4E_RIP_2016.csv~1.656",NA,NA
"HDAC6","BCK_eIF4E_RIP_2016.csv~1.1958",NA,NA
"HDAC7","BCK_eIF4E_RIP_2016.csv~1.2140",NA,NA
"HDGF","BCK_eIF4E_RIP_2016.csv~1.1528",NA,NA
"HDGFRP2","BCK_eIF4E_RIP_2016.csv~1.2298",NA,NA
"HDLBP","BCK_eIF4E_RIP_2016.csv~1.2295",NA,NA
"HEATR2","BCK_eIF4E_RIP_2016.csv~1.1926",NA,NA
"HEATR3","BCK_eIF4E_RIP_2016.csv~1.1042",NA,NA
"HEATR5B","BCK_eIF4E_RIP_2016.csv~1.130",NA,NA
"HEATR6","BCK_eIF4E_RIP_2016.csv~1.2744",NA,NA
"HECTD3","BCK_eIF4E_RIP_2016.csv~1.1820",NA,NA
"HECTD4","BCK_eIF4E_RIP_2016.csv~1.2189",NA,NA
"HEG1","BCK_eIF4E_RIP_2016.csv~1.3341",NA,NA
"HERC1","BCK_eIF4E_RIP_2016.csv~1.418",NA,NA
"HERC2","BCK_eIF4E_RIP_2016.csv~1.1998",NA,NA
"HERC2P2","BCK_eIF4E_RIP_2016.csv~1.3212",NA,NA
"HERC2P3","BCK_eIF4E_RIP_2016.csv~1.3837",NA,NA
"HERC2P9","BCK_eIF4E_RIP_2016.csv~1.3560",NA,NA
"HERC3","BCK_eIF4E_RIP_2016.csv~1.235",NA,NA
"HERC6","BCK_eIF4E_RIP_2016.csv~1.3396",NA,NA
"HERPUD2","BCK_eIF4E_RIP_2016.csv~1.453",NA,"MG_eIF4E_OE_DSG_2018.csv~1.106"
"HES7","BCK_eIF4E_RIP_2016.csv~1.3771",NA,NA
"HEXB","BCK_eIF4E_RIP_2016.csv~1.583",NA,NA
"HEXDC","BCK_eIF4E_RIP_2016.csv~1.325",NA,NA
"HGS","BCK_eIF4E_RIP_2016.csv~1.315",NA,NA
"HGSNAT","BCK_eIF4E_RIP_2016.csv~1.3045",NA,NA
"HIC2","BCK_eIF4E_RIP_2016.csv~1.1598",NA,NA
"HID1","BCK_eIF4E_RIP_2016.csv~1.3665",NA,NA
"HIF1AN","BCK_eIF4E_RIP_2016.csv~1.1334",NA,NA
"HINFP","BCK_eIF4E_RIP_2016.csv~1.1808",NA,NA
"HIP1","BCK_eIF4E_RIP_2016.csv~1.3413",NA,NA
"HIP1R","BCK_eIF4E_RIP_2016.csv~1.478",NA,NA
"HIPK1","BCK_eIF4E_RIP_2016.csv~1.673",NA,NA
"HIPK2","BCK_eIF4E_RIP_2016.csv~1.3699",NA,NA
"HIRA","BCK_eIF4E_RIP_2016.csv~1.984",NA,NA
"HIRIP3","BCK_eIF4E_RIP_2016.csv~1.1542",NA,NA
"HIVEP1","BCK_eIF4E_RIP_2016.csv~1.596",NA,NA
"HIVEP2","BCK_eIF4E_RIP_2016.csv~1.1330",NA,NA
"HIVEP3","BCK_eIF4E_RIP_2016.csv~1.3327",NA,NA
"HJURP","BCK_eIF4E_RIP_2016.csv~1.1784",NA,NA
"HK1","BCK_eIF4E_RIP_2016.csv~1.2568",NA,NA
"HK2","BCK_eIF4E_RIP_2016.csv~1.392",NA,NA
"HKR1","BCK_eIF4E_RIP_2016.csv~1.1238",NA,NA
"HLA-B","BCK_eIF4E_RIP_2016.csv~1.1505",NA,NA
"HLA-C","BCK_eIF4E_RIP_2016.csv~1.911",NA,NA
"HLA-DOB","BCK_eIF4E_RIP_2016.csv~1.2983",NA,NA
"HM13","BCK_eIF4E_RIP_2016.csv~1.1093",NA,NA
