"geneSymbol","BCK_eIF4E_RIP_2016.csv~1","JC list_4E interaction proteins.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"ABLIM1","BCK_eIF4E_RIP_2016.csv~1.1865",NA,NA
"ABR","BCK_eIF4E_RIP_2016.csv~1.1491",NA,NA
"ABTB2","BCK_eIF4E_RIP_2016.csv~1.3457",NA,NA
"ACAA1","BCK_eIF4E_RIP_2016.csv~1.2541",NA,NA
"ACACA","BCK_eIF4E_RIP_2016.csv~1.524",NA,NA
"ACACB","BCK_eIF4E_RIP_2016.csv~1.2547",NA,NA
"ACAD10","BCK_eIF4E_RIP_2016.csv~1.1207",NA,NA
"ACAD11","BCK_eIF4E_RIP_2016.csv~1.1612",NA,NA
"ACAD8","BCK_eIF4E_RIP_2016.csv~1.2995",NA,NA
"ACAD9","BCK_eIF4E_RIP_2016.csv~1.1917",NA,NA
"ACAP1","BCK_eIF4E_RIP_2016.csv~1.331",NA,NA
"ACAP3","BCK_eIF4E_RIP_2016.csv~1.2358",NA,NA
"ACBD5","BCK_eIF4E_RIP_2016.csv~1.708",NA,NA
"ACCS","BCK_eIF4E_RIP_2016.csv~1.2830",NA,NA
"ACIN1","BCK_eIF4E_RIP_2016.csv~1.2656",NA,NA
"ACLY","BCK_eIF4E_RIP_2016.csv~1.75",NA,NA
"ACO1","BCK_eIF4E_RIP_2016.csv~1.288",NA,NA
"ACOT9","BCK_eIF4E_RIP_2016.csv~1.2586",NA,NA
"ACP2","BCK_eIF4E_RIP_2016.csv~1.1080",NA,NA
"ACP6","BCK_eIF4E_RIP_2016.csv~1.2202",NA,NA
"ACRBP","BCK_eIF4E_RIP_2016.csv~1.3719",NA,NA
"ACRC","BCK_eIF4E_RIP_2016.csv~1.1830",NA,NA
"ACSBG2","BCK_eIF4E_RIP_2016.csv~1.3478",NA,NA
"ACSL1","BCK_eIF4E_RIP_2016.csv~1.1320",NA,NA
"ACSL5","BCK_eIF4E_RIP_2016.csv~1.838",NA,NA
"ACSS1","BCK_eIF4E_RIP_2016.csv~1.2730",NA,NA
"ACTR1B","BCK_eIF4E_RIP_2016.csv~1.1171",NA,NA
"ACTR3B","BCK_eIF4E_RIP_2016.csv~1.2801",NA,NA
"ACTR5","BCK_eIF4E_RIP_2016.csv~1.999",NA,NA
"ACTR8","BCK_eIF4E_RIP_2016.csv~1.189",NA,NA
"ADA","BCK_eIF4E_RIP_2016.csv~1.2689",NA,NA
"ADAL","BCK_eIF4E_RIP_2016.csv~1.1273",NA,NA
"ADAM15","BCK_eIF4E_RIP_2016.csv~1.1640",NA,NA
"ADAM19","BCK_eIF4E_RIP_2016.csv~1.2017",NA,NA
"ADAM1A","BCK_eIF4E_RIP_2016.csv~1.2768",NA,NA
"ADAM9","BCK_eIF4E_RIP_2016.csv~1.633",NA,NA
"ADAMTS13","BCK_eIF4E_RIP_2016.csv~1.3202",NA,NA
"ADAP2","BCK_eIF4E_RIP_2016.csv~1.2734",NA,NA
"ADAR","BCK_eIF4E_RIP_2016.csv~1.2570",NA,NA
"ADAT2","BCK_eIF4E_RIP_2016.csv~1.377",NA,NA
"ADCK1","BCK_eIF4E_RIP_2016.csv~1.2006",NA,NA
"ADCK3","BCK_eIF4E_RIP_2016.csv~1.345",NA,NA
"ADCY10P1","BCK_eIF4E_RIP_2016.csv~1.3246",NA,NA
"ADCY3","BCK_eIF4E_RIP_2016.csv~1.702",NA,NA
