"GeneID","BCK_eIF4E_RIP_2016.csv~1","JC list_4E interaction proteins.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"ENSG00000014138","BCK_eIF4E_RIP_2016.csv~1.1361",NA,NA
"ENSG00000015133","BCK_eIF4E_RIP_2016.csv~1.2475",NA,NA
"ENSG00000015285","BCK_eIF4E_RIP_2016.csv~1.2623",NA,NA
"ENSG00000016391","BCK_eIF4E_RIP_2016.csv~1.3602",NA,NA
"ENSG00000017373","BCK_eIF4E_RIP_2016.csv~1.3532",NA,NA
"ENSG00000017483","BCK_eIF4E_RIP_2016.csv~1.3039",NA,NA
"ENSG00000017797","BCK_eIF4E_RIP_2016.csv~1.1874",NA,NA
"ENSG00000018189","BCK_eIF4E_RIP_2016.csv~1.133",NA,"MG_eIF4E_OE_DSG_2018.csv~1.54"
"ENSG00000019582","BCK_eIF4E_RIP_2016.csv~1.366",NA,NA
"ENSG00000020577","BCK_eIF4E_RIP_2016.csv~1.2122",NA,NA
"ENSG00000020633","BCK_eIF4E_RIP_2016.csv~1.2867",NA,NA
"ENSG00000021300","BCK_eIF4E_RIP_2016.csv~1.3521",NA,NA
"ENSG00000022277","BCK_eIF4E_RIP_2016.csv~1.1743",NA,NA
"ENSG00000022556","BCK_eIF4E_RIP_2016.csv~1.3690",NA,NA
"ENSG00000022567","BCK_eIF4E_RIP_2016.csv~1.3016",NA,NA
"ENSG00000022840","BCK_eIF4E_RIP_2016.csv~1.2075",NA,"MG_eIF4E_OE_DSG_2018.csv~1.55"
"ENSG00000022976","BCK_eIF4E_RIP_2016.csv~1.3102",NA,NA
"ENSG00000023041","BCK_eIF4E_RIP_2016.csv~1.173",NA,NA
"ENSG00000023330","BCK_eIF4E_RIP_2016.csv~1.1448",NA,NA
"ENSG00000023892","BCK_eIF4E_RIP_2016.csv~1.1697",NA,NA
"ENSG00000023902","BCK_eIF4E_RIP_2016.csv~1.2752",NA,NA
"ENSG00000024048","BCK_eIF4E_RIP_2016.csv~1.301",NA,NA
"ENSG00000025293","BCK_eIF4E_RIP_2016.csv~1.64",NA,NA
"ENSG00000025772","BCK_eIF4E_RIP_2016.csv~1.2493",NA,NA
