Gene,logFC,t,P.Value,adj.P.Val,B,ensembl_gene_id
C20orf96,1.02590883615755,4.79563422015488,5.01172711139398e-5,2.71566164804791e-4,1.97248882700263,ENSG00000196476
ABTB2,1.0259309854942,2.94895716471879,0.00642451948666759,0.0149533052160999,-2.31388779957739,ENSG00000166016
FLT3LG,1.0262334770165,4.61400399994135,8.20431970832711e-5,4.05160451780947e-4,1.52026867829384,ENSG00000090554
CASZ1,1.02838745689722,7.03557794523132,1.28517283451468e-7,2.66185990377555e-6,7.61649564881952,ENSG00000130940
CD3EAP,1.02889314858781,4.54201380008692,9.97175500958792e-5,4.74746224017162e-4,1.34468742417898,ENSG00000117877
CYP27B1,1.03010834473276,2.84708383739448,0.00823210917558704,0.0185037176985191,-2.48883220358202,ENSG00000111012
PHC1,1.03166362792113,6.20048572490919,1.13646000041311e-6,1.41053969681229e-5,5.53728783006043,ENSG00000111752
VDR,1.03176498357172,3.91039131486448,5.44321396444405e-4,0.00187732325121073,-0.17657556569571,ENSG00000111424
BCL9,1.0339167022765,7.68711464257678,2.47948410763084e-8,7.71969836195951e-7,9.21319615616434,ENSG00000116128
CHKB,1.03821861440739,5.06203874379937,2.4309212862585e-5,1.54279905591597e-4,2.64270106881585,ENSG00000100288
FOXP3,1.03928914431865,4.52304842472183,1.04973173328625e-4,4.93613440538046e-4,1.30108007698356,ENSG00000049768
CCDC24,1.04099697649464,2.6202136012382,0.0141187716352542,0.0291653161719181,-2.92038949716077,ENSG00000159214
ALDH2,1.04283388259879,3.47046562079172,0.00172538352426164,0.00490489474392135,-1.18917406175476,ENSG00000111275
SLC6A8,1.04540536145183,3.58528754447434,0.00128088257433778,0.00381498636267822,-0.931016739508532,ENSG00000130821
TVP23A,1.04572369490527,3.33619530136391,0.00243600018323897,0.00653576986546633,-1.48718979316094,ENSG00000166676
DACT3,1.04895784403096,2.57723772093219,0.0156047114230265,0.0317598320120949,-2.9856005919795,ENSG00000197380
PI4KAP2,1.0494689003625,6.65006690960167,3.48338438056837e-7,5.71344592613765e-6,6.66450777037729,ENSG00000183506
ERN1,1.05234455167644,3.40654865991403,0.00203424643064981,0.00562886219290844,-1.32265140048735,ENSG00000178607
SAP25,1.05368305993556,5.46520244044075,8.15210537386312e-6,6.44572375571649e-5,3.65849473644191,ENSG00000205307
PATL2,1.05592431086959,6.70515873486027,3.0177424077836e-7,5.09767290197588e-6,6.80805823608068,ENSG00000229474
UBALD1,1.05630197522032,3.19072086542092,0.00352309979149518,0.00894065766086434,-1.80176319907799,ENSG00000153443
CDHR1,1.05676569344226,6.78140000472322,2.47555851606197e-7,4.40276386493596e-6,6.99302828051665,ENSG00000148600
ACSBG2,1.05835895476151,2.54727275865629,0.016725279003902,0.0336971286945468,-3.0344909155708,ENSG00000130377
GAB2,1.06081822956731,7.44301690044192,4.5649317822995e-8,1.20216043264897e-6,8.62655754549727,ENSG00000033327
OCLM,1.06404582823398,4.86823715454269,4.11488159475437e-5,2.32175174900895e-4,2.16695849053249,ENSG00000262180
GRK5,1.0676907246821,5.91309423054292,2.44354805003572e-6,2.5813331434999e-5,4.81576553639622,ENSG00000198873
PCDHGA11,1.07111672730782,4.21623225923484,2.40295373489498e-4,9.67065974585912e-4,0.555955539178886,ENSG00000253873
ISY1,1.07147680660763,8.11414236246589,8.68104681347565e-9,3.60083165429247e-7,10.2374853294183,ENSG00000240682
SEMA4D,1.0740381073775,2.48834878033387,0.0194030616126666,0.0381566114688353,-3.146236779278,ENSG00000187764
VASN,1.07524918776919,2.69251032773802,0.0121135834875756,0.025609942097247,-2.78233835441858,ENSG00000168140
FAM227A,1.07665063874815,6.10230891088084,1.47500956923516e-6,1.73460590918298e-5,5.29403892608325,ENSG00000184949
PANX2,1.07723883320923,2.57742396085446,0.0155979698376561,0.0317510884920492,-3.00209759868661,ENSG00000073150
STX1A,1.07737028077073,4.23344093698159,2.2942828463518e-4,9.30833568568294e-4,0.592086622575716,ENSG00000106089
PRKXP1,1.07869803709022,7.14637650103622,9.67972753938801e-8,2.14644919039586e-6,7.88993036309824,ENSG00000259205
CRAT,1.07913093952864,3.4113382930921,0.00200935850244282,0.00557306161871719,-1.30715288087309,ENSG00000095321
NOS3,1.0795931871553,3.66431847061018,0.00104193582863297,0.00320479811967349,-0.742471952275267,ENSG00000164867
ABAT,1.08304213338662,4.58926532694454,8.77340240702332e-5,4.2661079943964e-4,1.47423574084297,ENSG00000183044
ASAP3,1.08373621579465,3.00597501426319,0.00558424784639899,0.0132735792365064,-2.18466956181357,ENSG00000088280
ZNF713,1.08436897904749,5.50547630685484,7.31163534233652e-6,5.955267355681e-5,3.77131844009951,ENSG00000178665
CHRNA10,1.08611028262334,2.50856164393018,0.018531904320316,0.0367103621896038,-3.10774481669281,ENSG00000129749
UCP3,1.0870367479108,3.88863726601806,5.76682264970003e-4,0.00196665769532586,-0.220087373062992,ENSG00000175564
DEXI,1.08739580885044,5.24818405678708,1.46696590841066e-5,1.03060705567617e-4,3.12458465975257,ENSG00000182108
YJEFN3,1.09415382993146,4.93095408774935,3.47038220853705e-5,2.03780968853173e-4,2.32485329705543,ENSG00000250067
ZNF362,1.09627654556989,5.34045113286812,1.14247238018758e-5,8.46616376254302e-5,3.36675371859021,ENSG00000160094
GSTM2,1.09803710139251,3.85722006779798,6.57532208061453e-4,0.00218390512842814,-0.33076023534675,ENSG00000213366
POTEE,1.09907184949209,5.07811181664016,2.32712067115109e-5,1.49273753327839e-4,2.70339280986299,ENSG00000188219
CCDC65,1.10203884818483,3.18894756937999,0.00363837081031451,0.00919364893544439,-1.80314892726278,ENSG00000139537
TMEM8B,1.10713067295633,6.83725907108078,2.142068052408e-7,3.9338322027187e-6,7.1330422410414,ENSG00000137103
PCDHGA7,1.10725859421546,4.42032251205311,1.38603917710801e-4,6.1563279631862e-4,1.0607499607597,ENSG00000253537
AICDA,1.10755541896142,2.47323778596395,0.0198207078939787,0.0388367417125755,-3.21959256612107,ENSG00000111732
TTLL13,1.10796036495351,2.94775447390221,0.00644347410574689,0.0149893611028332,-2.28168985485185,ENSG00000213471
MIR631,1.10857967257053,9.77372262132559,1.84445899945518e-10,1.72277778344796e-8,13.9964316310326,ENSG00000207636
CTSK,1.109481790361,6.08175198274787,1.55794215435577e-6,1.81081136884521e-5,5.2440930410228,ENSG00000143387
NUMBL,1.11073888382861,6.7364910866099,2.78164988709809e-7,4.80880965169034e-6,6.8782091382335,ENSG00000105245
TLDC2,1.11335795022603,3.21411764104804,0.0035215580897555,0.00893946578071238,-1.77127750149164,ENSG00000101342
RGL3,1.11711073107604,7.74388659864296,2.7698134279577102e-08,8.34350063461137e-7,9.13191007489356,ENSG00000205517
FGD1,1.11719279922415,3.11890928852672,0.00421859616593115,0.0104304006898275,-1.94162683448483,ENSG00000102302
ATG9B,1.12277360544745,3.64670950195532,0.00109109198879728,0.00333074236787095,-0.781811927007139,ENSG00000181652
SSBP3-AS1,1.12636963743036,4.72596126979845,6.05529153151479e-5,3.15996953609598e-4,1.81674433231309,ENSG00000198711
PCDHGA9,1.13022860386289,2.81923969510439,0.00880409705455778,0.0195758849219599,-2.59940734050935,ENSG00000261934
NOMO3,1.1309828304601,3.98979523114733,4.4064328564381e-4,0.00157556369526675,0.0205615827045502,ENSG00000103226
NAV2,1.1314869031848,4.38248707030102,1.53521171936025e-4,6.6884744135752e-4,0.822967301269632,ENSG00000166833
EVPL,1.13488109849302,2.99806765151619,0.00569419721809294,0.0134948554882426,-2.17624903841672,ENSG00000167880
LINC01125,1.13571556105711,4.35174192829348,1.66806934052423e-4,7.16392466027986e-4,0.895076030209842,ENSG00000228486
ARID3B,1.14446387800204,5.14685713314462,1.93099679967277e-5,1.28498879806005e-4,2.87538384222298,ENSG00000179361
PLEKHB1,1.14548685392056,4.11867310053855,3.12230322715797e-4,0.0011915066174282,0.327546486858365,ENSG00000021300
MRPL23-AS1,1.14778510069281,4.47444766854379,1.28637182360823e-4,5.80903143857589e-4,1.14041995888325,ENSG00000226416
SPRED3,1.14808005196263,2.8435565520667,0.0086478237640221,0.0193011339055009,-2.5043461102021,ENSG00000188766
FOXD2-AS1,1.14809577430822,3.77402735417765,7.80922887260107e-4,0.0025183114369841,-0.489659903443364,ENSG00000237424
LY6G5B,1.15023681928787,9.98946518954854,1.14791249606846e-10,1.15529828964782e-8,14.4660925079998,ENSG00000239497
THPO,1.1502970576024,2.36819898482057,0.0251221805813671,0.0473108892497663,-3.32522818218818,ENSG00000090534
PCDHGB8P,1.15080605078833,3.40789116423516,0.00202724058604183,0.00561546074857714,-1.31030401350554,ENSG00000248449
PARP16,1.15412186335247,5.70490914258359,4.27131888652209e-6,3.92737486570228e-5,4.27319740357973,ENSG00000138617
CCDC136,1.15645001765572,7.81998699454186,1.78421411431603e-8,6.09590838056973e-7,9.54117818265888,ENSG00000128596
MUC16,1.1569757991465,12.4883938511535,7.14869960242873e-13,2.26369675459347e-10,19.4589665235032,ENSG00000181143
CD244,1.15808781162009,2.42463162086085,0.0221312075008293,0.0425862556667063,-3.23350268699416,ENSG00000122223
SRCIN1,1.16013588285672,2.76346697036536,0.0100641746001172,0.0219013038607647,-2.63625352567242,ENSG00000017373
TLN2,1.16066279611936,4.77993933069694,5.22992276607206e-5,2.80462979231365e-4,1.95630926206449,ENSG00000171914
IQGAP3,1.16450656725298,5.76956216605724,3.59006358014684e-6,3.4297126902904e-5,4.45801557814076,ENSG00000183856
LRRC48,1.1661469400852,3.39611656078766,0.00208948981177998,0.00575718298521637,-1.33448187448766,ENSG00000171962
EPHX1,1.16784962118519,5.63313011439477,5.18169704858603e-6,4.59521672006779e-5,4.11156837906116,ENSG00000143819
IL17RB,1.16790744714509,5.56346499631935,6.25223627255044e-6,5.30888054457308e-5,3.93472779624966,ENSG00000056736
FGR,1.1692029845634,5.10679503898696,2.15279385881907e-5,1.40227233701879e-4,2.76085907666163,ENSG00000000938
TFCP2,1.17079795168289,2.49516757158137,0.0191050367786997,0.0376446642127573,-3.12280050365221,ENSG00000135457
SPNS3,1.173311037518,2.55022232656692,0.0166117571980878,0.0334944003265683,-3.01789410168458,ENSG00000182557
C10orf71,1.17661041959863,6.83723510957358,2.14220085290158e-7,3.9338322027187e-6,7.1420388110342,ENSG00000177354
LINC00854,1.17662261033918,4.0729036966815,3.52935684291457e-4,0.00131294097110487,0.201918138526168,ENSG00000236383
TMEM198,1.18041302159334,2.56768146592442,0.015954282271633,0.0323799353966878,-2.99164739064073,ENSG00000188760
RTEL1,1.18272529600237,3.9943111416259,4.35369627067222e-4,0.00156186898817733,0.03345286321884,ENSG00000258366
SKI,1.18358043652804,4.9747238776758,3.0813976249001e-5,1.85555590742477e-4,2.44506519539428,ENSG00000157933
TOP1MT,1.18444598928456,6.32161252015339,8.24815639904986e-7,1.0994436809945e-5,5.85070046811026,ENSG00000184428
TBX19,1.18496035528234,3.73786729121328,8.58968245932551e-4,0.00272331739607871,-0.565276280858024,ENSG00000143178
TUBA8,1.18562023742721,2.42115123334007,0.0225780210358181,0.0433176366348495,-3.24677214247111,ENSG00000183785
PCDHGB4,1.19103425844604,3.05378674019127,0.00496128414461083,0.0120037927785096,-2.05792176069047,ENSG00000253953
METTL21B,1.19188717732285,5.44161804417759,8.68876144436509e-6,6.76296102111463e-5,3.62558532430722,ENSG00000123427
PROCA1,1.19215433711318,5.19830637229389,1.6794258851373e-5,1.14697455374738e-4,3.00847276867034,ENSG00000167525
WDR31,1.19284083968963,2.82074344199617,0.00877227311891135,0.0195285359915683,-2.51929209644398,ENSG00000148225
MORC4,1.19639462763607,3.67876307815914,0.0010032314751749,0.00310709786311922,-0.703137389740739,ENSG00000133131
CCDC30,1.19733038478637,3.81136025563848,7.07631605924289e-4,0.00232058124266609,-0.395462221806982,ENSG00000186409
PDE9A,1.1982281000097,4.22130663859402,2.3703911390376e-4,9.55442041543779e-4,0.578884291169921,ENSG00000160191
ECM1,1.19920657514278,2.62477121936164,0.0144238799033318,0.0296963578789973,-2.90205794371723,ENSG00000143369
SPTBN4,1.20086407693472,3.82461018105576,6.83274629044572e-4,0.00224922781665458,-0.364849501671293,ENSG00000160460
PCGF2,1.20506667129091,4.31680677252051,1.83290438153027e-4,7.72366036527344e-4,0.810775699269779,ENSG00000056661
NT5DC3,1.20769783688053,7.13260886529616,1.00259373074504e-7,2.19464778500457e-6,7.8745242664285,ENSG00000111696
HERC2P9,1.20894825492268,4.93316802041013,3.44957635182023e-5,2.02926369622483e-4,2.33944656577364,ENSG00000206149
PLEKHA7,1.21246152768118,3.75247155921191,8.26570028602869e-4,0.00263455138080124,-0.582616571332035,ENSG00000166689
