"Row","GeneID","geneSymbol"
"MG_eIF4E_OE_DSG_2018.csv~1.39","ENSG00000068137","PLEKHH3"
"MG_eIF4E_OE_DSG_2018.csv~1.40","ENSG00000087274","ADD1"
"MG_eIF4E_OE_DSG_2018.csv~1.41","ENSG00000100968","NFATC4"
"MG_eIF4E_OE_DSG_2018.csv~1.42","ENSG00000115756","HPCAL1"
"MG_eIF4E_OE_DSG_2018.csv~1.43","ENSG00000126709","IFI6"
"MG_eIF4E_OE_DSG_2018.csv~1.44","ENSG00000130734","ATG4D"
"MG_eIF4E_OE_DSG_2018.csv~1.45","ENSG00000134644","PUM1"
"MG_eIF4E_OE_DSG_2018.csv~1.46","ENSG00000144857","BOC"
"MG_eIF4E_OE_DSG_2018.csv~1.47","ENSG00000160299","PCNT"
"MG_eIF4E_OE_DSG_2018.csv~1.48","ENSG00000170325","PRDM10"
"MG_eIF4E_OE_DSG_2018.csv~1.49","ENSG00000172663","TMEM134"
"MG_eIF4E_OE_DSG_2018.csv~1.50","ENSG00000182400","TRAPPC6B"
"MG_eIF4E_OE_DSG_2018.csv~1.51","ENSG00000197381","ADARB1"
"MG_eIF4E_OE_DSG_2018.csv~1.52","ENSG00000004897","CDC27"
"MG_eIF4E_OE_DSG_2018.csv~1.53","ENSG00000008988","RPS20"
"MG_eIF4E_OE_DSG_2018.csv~1.54","ENSG00000018189","RUFY3"
"MG_eIF4E_OE_DSG_2018.csv~1.55","ENSG00000022840","RNF10"
"MG_eIF4E_OE_DSG_2018.csv~1.56","ENSG00000026508","CD44"
"MG_eIF4E_OE_DSG_2018.csv~1.57","ENSG00000029153","ARNTL2"
"MG_eIF4E_OE_DSG_2018.csv~1.58","ENSG00000041357","PSMA4"
"MG_eIF4E_OE_DSG_2018.csv~1.59","ENSG00000050426","LETMD1"
"MG_eIF4E_OE_DSG_2018.csv~1.60","ENSG00000055917","PUM2"
"MG_eIF4E_OE_DSG_2018.csv~1.61","ENSG00000058673","ZC3H11A"
"MG_eIF4E_OE_DSG_2018.csv~1.62","ENSG00000062716","VMP1"
"MG_eIF4E_OE_DSG_2018.csv~1.63","ENSG00000067191","CACNB1"
"MG_eIF4E_OE_DSG_2018.csv~1.64","ENSG00000067798","NAV3"
"MG_eIF4E_OE_DSG_2018.csv~1.65","ENSG00000075413","MARK3"
"MG_eIF4E_OE_DSG_2018.csv~1.66","ENSG00000075711","DLG1"
"MG_eIF4E_OE_DSG_2018.csv~1.67","ENSG00000075711","DLG1"
"MG_eIF4E_OE_DSG_2018.csv~1.68","ENSG00000076067","RBMS2"
"MG_eIF4E_OE_DSG_2018.csv~1.69","ENSG00000080947","CROCCP3"
"MG_eIF4E_OE_DSG_2018.csv~1.70","ENSG00000082781","ITGB5"
